Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Development of Fuzzy Logic Controller in Automatic Vehicle Navigation using IoT","Fuzzy logic controllers, IoT, and genetic algorithms together enhance automatic vehicle navigation, enhancing safety, efficiency, and adaptability in complex driving scenarios.","V. P. Murugan, J. S. Christy, Mano Raj, K. Sundaram, K. Sivakumar",2024,3,"The integration of fuzzy logic controllers in automatic vehicle navigation systems represents a significant advancement in intelligent transportation systems, especially when paired with Internet of Things (IoT) functionalities and optimized through genetic algorithms. This innovative fusion harnesses the precision of fuzzy logic, the connectivity of IoT, and the optimization capabilities of genetic algorithms to transform automatic vehicle navigation. Fuzzy logic controllers excel in managing uncertainty and imprecision, providing decision-making capabilities akin to human reasoning. By simultaneously assessing multiple inputs and determining actions based on degrees of truth, fuzzy logic enables safe and efficient navigation in dynamic driving environments with fluctuating variables like obstacle proximity and traffic flow. IoT integration enhances navigation systems by enabling real-time data collection and sharing among vehicles and infrastructure, fostering adaptive route planning and improving the overall navigation experience. Genetic algorithms further optimize system performance by iteratively adjusting fuzzy logic controller parameters, ensuring efficient decision-making tailored to specific performance criteria such as travel time and fuel consumption. This collaborative integration of fuzzy logic controllers, IoT, and genetic algorithms offers a holistic solution to the challenges of automatic vehicle navigation, enhancing safety, efficiency, and adaptability in complex driving scenarios. Beyond enhancing individual vehicle performance, this approach contributes to overall transportation system efficiency and safety by mitigating traffic congestion, reducing emissions, and minimizing accidents. Consequently, these integrated systems address crucial societal challenges and pave the way for widespread adoption of autonomous vehicles in the future.","","Journal of Electrical Systems","4","10.52783/jes.1254","https://consensus.app/papers/development-of-fuzzy-logic-controller-in-automatic-murugan-christy/9906af5a67fa5d5e981f7b29040f313d/"
"Optimal Fuzzy Controller Design for Autonomous Robot Path Tracking Using Population-Based Metaheuristics","This study proposes an optimization method for autonomous robot path tracking using rear-wheel fuzzy logic controllers, resulting in better RMSE-measured performance compared to published results.","A. Mancilla, Mario García-Valdez, O. Castillo, J. J. M. Guervós",2022,26,"In this work, we propose, through the use of population-based metaheuristics, an optimization method that solves the problem of autonomous path tracking using a rear-wheel fuzzy logic controller. This approach enables the design of controllers using rules that are linguistically familiar to human users. Moreover, a new technique that uses three different paths to validate the performance of each candidate configuration is presented. We extend on our previous work by adding two more membership functions to the previous fuzzy model, intending to have a finer-grained adjustment. We tuned the controller using several well-known metaheuristic methods, Genetic Algorithms (GA), Particle Swarm Optimization (PSO), Grey Wolf Optimizer (GWO), Harmony Search (HS), and the recent Aquila Optimizer (AO) and Arithmetic Optimization Algorithms. Experiments validate that, compared to published results, the proposed fuzzy controllers have better RMSE-measured performance. Nevertheless, experiments also highlight problems with the common practice of evaluating the performance of fuzzy controllers with a single problem case and performance metric, resulting in controllers that tend to be overtrained.","","Symmetry","2","10.3390/sym14020202","https://consensus.app/papers/optimal-fuzzy-controller-design-for-autonomous-robot-path-mancilla-garca-valdez/3ba5edb4003054289be8808b8427a52d/"
"Path Planning of Mobile Robot Based on Dual-Layer Fuzzy Control and Improved Genetic Algorithm","The proposed method, integrating a dual-layer fuzzy control system and improved genetic algorithm, reduces path distance by up to 5.9% and number of turns by up to 85.7% in mobile robot path planning.","Yangxin Teng, Tingping Feng, Changlin Song, Junmin Li, Simon X. Yang, Hongjun Zhu",2025,7,"This study addresses the dual challenges of complex road environments and diverse task-safety requirements in mobile-robot path planning by proposing an innovative method that integrates a dual-layer fuzzy control system with an improved genetic algorithm. Initially, an expert system-based dual-layer fuzzy control system is developed. The first layer translates complex road conditions and obstacles into road-safety levels, while the second layer combines these with task-safety levels to generate fitness weights for the genetic algorithm. Furthermore, road-safety factors are incorporated into the genetic algorithm’s fitness function to enhance safety considerations in path planning. The algorithm implementation incorporates Bernoulli chaotic mapping, Gaussian operators, and Symmetrical Sigmoid operators to optimize the selection, crossover, and mutation processes, significantly boosting the algorithm’s global search capability and efficiency. Experimental results indicate that the proposed method reduces path distance by up to 5.9% and decreases the number of turns by up to 85.7%, demonstrating superior universality and robustness across various comparative experiments. This research contributes to resolving the issues posed by complex road environments and varying task-safety requirements in mobile-robot path planning.","","Symmetry","2","10.3390/sym17040609","https://consensus.app/papers/path-planning-of-mobile-robot-based-on-duallayer-fuzzy-teng-feng/6d88f6674fcd5e4796fb2b19c85ff447/"
"Genetic fuzzy tracking controllers for autonomous ground vehicles","Genetic algorithms can effectively design fuzzy logic controllers for autonomous ground vehicles, reducing the time-consuming fine-tuning process.","Yonggon Lee, S. Żak",2002,15,"Genetic algorithm (CA) based fuzzy logic controller (FLC) design methods are presented for the step-lane-change maneuver of an autonomous ground vehicle. Fuzzy logic allows us to incorporate expert knowledge in the controller design. However, the fine-tuning process of a fuzzy logic controller may be very tedious and time consuming. If the information, regarding the controller operation, derived from the expert knowledge is incomplete, then an appropriately designed genetic algorithm is employed to complete the rule base specifying the desired functioning of the controller.","","Proceedings of the 2002 American Control Conference (IEEE Cat. No.CH37301)","","10.1109/acc.2002.1023954","https://consensus.app/papers/genetic-fuzzy-tracking-controllers-for-autonomous-ground-lee-ak/e49225179a4b5be787dd9fcf17d3b6a4/"
"Optimal path planning and execution for mobile robots using genetic algorithm and adaptive fuzzy-logic control","Two-Kinect cameras and a Genetic Algorithm effectively optimize collision-free paths for indoor mobile robots, ensuring safe motion in indoor environments.","Azzeddine Bakdi, A. Hentout, Hakim Boutami, Abderraouf Maoudj, O. Hachour, B. Bouzouia",2017,217,"","","Robotics Auton. Syst.","","10.1016/j.robot.2016.12.008","https://consensus.app/papers/optimal-path-planning-and-execution-for-mobile-robots-bakdi-hentout/0ed6a6ee2cef53d1a38bfe0ff2b5ccf1/"
"Research on fuzzy control of path tracking for underwater vehicle based on genetic algorithm optimization","The optimized fuzzy controller for underwater vehicles, based on a line-of-sight method, ensures smooth and robust path tracking, ensuring strong robustness.","Jiawang Chen, Huangchao Zhu, Lei Zhang, Yuxia Sun",2018,77,"","","Ocean Engineering","1","10.1016/j.oceaneng.2018.03.010","https://consensus.app/papers/research-on-fuzzy-control-of-path-tracking-for-underwater-chen-zhu/2c8a847e3ba15265a1ca45b617321270/"
"Comparison between Genetic Algorithms of Proportional–Integral–Derivative and Linear Quadratic Regulator Controllers, and Fuzzy Logic Controllers for Cruise Control System","The Fuzzy-I controller provides smoother and more stable cruise control system responses, improving driving accuracy, safety, and comfortability in autonomous vehicles compared to PID and LQR controllers.","Ali Mahmood, Karrar Y. A. Al-bayati, R. Szabolcsi",2024,5,"One of the most significant and widely used features currently in autonomous vehicles is the cruise control system that not only deals with constant vehicle velocities but also aims to optimize the safety and comfortability of drivers and passengers. The accuracy and precision of system responses are responsible for cruise control system efficiency via control techniques and algorithms. This study presents the dynamic cruise control system model, then investigates a genetic algorithm of the proportional–integral–derivative (PID) controller with the linear quadratic regulator (LQR) based on four fitness functions, the mean squared error (MSE), the integral squared error (ISE), the integral time squared error (ITSE) and the integral time absolute error (ITAE). Then, the response of the two controllers, PID and LQR, with the genetic algorithm was compared to the response performance of the fuzzy and fuzzy integral (Fuzzy-I) controllers. The MATLAB 2024a program simulation was employed to represent the system time response of each proposed controller. The output simulation of these controllers shows that the type of system stability response was related to the type of controller implemented. The results show that the Fuzzy-I controller outperforms the other proposed controllers according to the least Jmin function, which represents the minimum summation of the overshoot, settling time, and steady-state error of the cruise control system. This study demonstrates the effectiveness of driving accuracy, safety, and comfortability during acceleration and deceleration due to the smoothness and stability of the Fuzzy-I controller with a settling time of 5.232 s and when converging the steady-state error to zero.","","World Electric Vehicle Journal","2","10.3390/wevj15080351","https://consensus.app/papers/comparison-between-genetic-algorithms-of-mahmood-al-bayati/4f346bacdb4c53a4bec26b28dd055384/"
"Intelligent fleet management of autonomous vehicles for city logistics","This paper proposes a novel approach for autonomous vehicle fleet management in urban areas, incorporating fuzzy logic concepts and a hybrid approach combining A-star and modified genetic algorithms.","E. Xidias, P. Zacharia, A. Nearchou",2022,21,"Consideration is given to the management of a fleet of autonomous vehicles (AVs) designed to support freight delivery in urban areas. The fleet of AVs is assumed operating within the general framework of an Intelligent Transportation System (ITS). Creating the technologies necessary for such ITS raises many important and complex problems related to research areas such as automated reasoning, perception, and control among others. Two of them, namely, AVs' routing and AVs' motion planning, are the main themes of this work. In this paper, we propose a novel approach for their formation and composition in the context of an ITS. Routing and motion planning decisions for AVs are assessed considering the latest traffic conditions existing on the road network. Since these conditions are usually vague and therefore difficult to be measured accurately, fuzzy logic concepts are incorporated into ITS to simulate the uncertainty in traffic networks. Solutions to the fuzzy routing and fuzzy motion planning for AVs are finally derived from a hybrid approach that combines the A-star algorithm with two modified genetic algorithms. Simulated experiments over the city of Patras (Greece) show the efficiency of the developed approach.","","Applied Intelligence","2","10.1007/s10489-022-03535-y","https://consensus.app/papers/intelligent-fleet-management-of-autonomous-vehicles-for-xidias-zacharia/0d4bfaaaadd750219aaba143c31502dd/"
"AGV routing and motion planning in a flexible manufacturing system using a fuzzy-based genetic algorithm","The proposed motion planner effectively routes and plans autonomous-guided vehicles in flexible manufacturing systems, considering uncertain demands and travel times.","P. Zacharia, E. Xidias",2020,32,"Autonomous-guided vehicles (AGVs) are becoming increasingly prevalent and already helping in a variety of activities, ranging from space exploration to domestic housework. Recent advances in the design of sensors, motors and microelectromechanical systems are bringing us closer to the realization of autonomous multi robot systems which perform complex tasks. In this work, we explored the problem of vehicle routing and motion planning for a fleet of AGVs in a flexible manufacturing system (FMS). Considering concurrently fuzzy demands associated with the workstations and fuzzy travel distances while moving between workstations, the problem is addressed in the context of uncertainty both in demands and travel times. The proposed motion planner is combined with a scheduler allowing each AGV to update its destination resource during navigation in order to complete the transported product. Furthermore, in order to take into account the fuzziness which may arise in the FMS, the proposed planner is integrated with fuzzy theory on fuzzy sets and fuzzy numbers. The efficiency of the solution procedure is demonstrated through numerical examples.","","The International Journal of Advanced Manufacturing Technology","2","10.1007/s00170-020-05755-3","https://consensus.app/papers/agv-routing-and-motion-planning-in-a-flexible-zacharia-xidias/1bff43ac46a451048d57951fc3d30631/"
"An Effective Hybrid Strategy: Multi-Fuzzy Genetic Tracking Controller for an Autonomous Delivery Van","The hybrid artificial-intelligence-based lateral control system for autonomous delivery vans reduces tracking error by up to 91.2% and 61.1% compared to manually and geometrically weighted alternatives.","M. Ghazali, Zaid Samadi, M. Gol, A. Demir, Kemal Rodoplu, T. Kabbani, Emrecan Hatipoglu, A. E. Hartavi",2025,1,"The trend towards shorter supply chains and home delivery has rapidly increased delivery van traffic. Consequently, in the 20 years prior to 2018, delivery traffic has increased by 71%, while passenger vehicles have increased only by 13%. This drastic change in traffic patterns presented new challenges to decision makers and fortunately coincided with changes in the automotive industry, i.e., the advent of automation. However, the design of a controller is not straightforward due to the complex and nonlinear vehicle dynamics and the nonlinear relationship between the controller, tracking error and trajectory. This paper proposes a novel hybrid artificial-intelligence-based lateral control system for an autonomous delivery van to address these challenges to achieve the lowest value of tracking error. The strategy consists of multiple simultaneously operating fuzzy controllers. Their output signals are optimally weighted by a genetic algorithm to determine the proper allocation of control signals for calculating the final steering angle. Six different scenarios are implemented to evaluate the algorithm. A comparative analysis is then performed with two alternative state-of-the-art methods: (i) manually weighted and (ii) geometrically weighted controllers. During the tests, the vehicle’s speed varied, and the roads considered ranged from simple roads to a series of curves. The results show that the proposed strategy leads to a reduction of up to 91.2% and 61.1% in tracking error compared to the manually and geometrically weighted alternatives, respectively.","","World Electric Vehicle Journal","2","10.3390/wevj16060336","https://consensus.app/papers/an-effective-hybrid-strategy-multifuzzy-genetic-tracking-ghazali-samadi/4c01e709c71f5b28b9eef74bc5362e85/"
"A Genetic Algorithm enhanced with Fuzzy-Logic for multi-objective Unmanned Aircraft Vehicle path planning missions*","The Fuzzy Logic enhanced Genetic Algorithm (GAF) effectively solves multi-objective UAV path planning problems, achieving optimal distance, energy efficiency, and smoothness while maintaining shortest possible traveled distance.","C. Ntakolia, Konstantinos S. Platanitis, G. Kladis, Christos Skliros, A. Zagorianos",2022,14,"The fast growth of computational-intelligence and computer vision-based approaches in the field of robotics have initiated the development of novel unmanned aircraft vehicles (UAVs) with additional capabilities for mission-critical applications, such as fire detection or delivery services. Path planning is a crucial part of the automated operation of a UAV to find the optimal path from a starting point to a target-goal point, satisfying in parallel specific criteria and constraints. To this end, traditional path planning algorithms, such as graph-based, heuristics or metaheuristics, have been adopted to address this problem. However, the complex operational environment combined with the demand for energy efficiency have emerged the need for dynamic and multi-objective path planning meeting the special characteristics of a UAV flight. To address the above challenges, in this study a novel Genetic Algorithm (GA) enhanced with Fuzzy Logic (GAF) is developed for solving the UAV multi-objective path planning problem. The proposed algorithm aims to find an optimal path with respect to contradicted objective terms, such as distance, energy efficiency and path’s curvature. In the proposed developments, the novelty of GAF rises via a two-step procedure: (i) the evaluation stage of the energy efficiency of the paths; and (ii) the evaluation stage of the GA for the development of an energy efficient, smooth path of shortest possible traveled distance. The efficacy of the approach is illustrated via a comparative experimental evaluation.","","2022 International Conference on Unmanned Aircraft Systems (ICUAS)","","10.1109/icuas54217.2022.9836068","https://consensus.app/papers/a-genetic-algorithm-enhanced-with-fuzzylogic-for-ntakolia-platanitis/58d15bb907795c2b91aa0b4c8ac9dff8/"
"Model predictive control with fuzzy logic switching for path tracking of autonomous vehicles.","The proposed multi-input multi-output linear model predictive control with fuzzy logic switching improves path tracking performance in autonomous vehicles compared to a Linear quadratic gaussian tracking controller.","N. Awad, Ahmed Lasheen, Mahmoud Elnggar, A. Kamel",2021,72,"","","ISA transactions","1","10.1016/j.isatra.2021.12.022","https://consensus.app/papers/model-predictive-control-with-fuzzy-logic-switching-for-awad-lasheen/14f41da40ba25f1a9c0a66895df57e81/"
"Fuzzy-Model-Based Lateral Control for Networked Autonomous Vehicle Systems Under Hybrid Cyber-Attacks","This paper presents a novel solution for autonomous vehicles to follow planned paths under external disturbances and network issues, such as cyber-attacks, using a fuzzy-model-based system and resilient event-triggered scheme.","Zhi Lian, Peng Shi, C. Lim, Xin Yuan",2022,190,"This article addresses the problem of lateral control problem for networked-based autonomous vehicle systems. A novel solution is presented for nonlinear autonomous vehicles to smoothly follow the planned path under external disturbances and network-induced issues, such as cyber-attacks, time delays, and limited bandwidths. First, a fuzzy-model-based system is established to represent the nonlinear networked vehicle systems subject to hybrid cyber-attacks. To reduce the network burden and effects of cyber-attacks, an asynchronous resilient event-triggered scheme (ETS) is proposed. A dynamic output-feedback control method is developed to address the underlying problem. Conditions are derived to obtain the output-feedback controller and resilient asynchronous ETS such that the closed-loop switched fuzzy system is globally exponentially stable. Examples are provided to demonstrate the effectiveness and merits of the proposed new control design techniques.","","IEEE Transactions on Cybernetics","1","10.1109/tcyb.2022.3151880","https://consensus.app/papers/fuzzymodelbased-lateral-control-for-networked-lian-shi/ad927927fafd5233a662ae049cc26c70/"
"Stability of Interval Type-3 Fuzzy Controllers for Autonomous Vehicles","The new controller, based on interval type-3 fuzzy logic systems, ensures stability and better maneuver performance in autonomous vehicles under unknown dynamics and perturbations.","M. Tian, Shu-Rong Yan, A. Mohammadzadeh, J. Tavoosi, Saleh Mobayen, Rabia Safdar, W. Assawinchaichote, M. Vu, A. Zhilenkov",2021,31,"Economic efficient Autonomous Road Vehicles (ARVs) are invariably subjected to uncertainties and perturbations. Therefore, control of vehicle systems requires stability to withstand the effect of variations in the nominal performance. Lateral path-tracking is a substantial task of ARVs, especially in critical maneuvering and cornering with variable speed. In this study, a new controller on the basis of interval type-3 (T3) fuzzy logic system (FLSs) is designed. The main novelties and advantages are as follows. (1) The uncertainty is a main challenge in the path-following problem of ARVs. However, in the fuzzy-based approaches, the bounds of uncertainty are assumed to be known. However, in the our suggested approach, the bounds of uncertainties are also fuzzy sets and type-3 FLSs with online adaptation rules are suggested to handle the uncertainties. (2) The approximation errors (AEs) and perturbations are investigated and tackled by the compensators. (3) The bounds of estimation errors are also uncertain and are estimated by the suggested adaptation laws. (4) The stability is ensured under unknown dynamics, perturbations and critical maneuvers. (5) Comparison with the benchmarking techniques and conventional fuzzy approaches verifies that the suggested path-following scheme results in better maneuver performance.","","Mathematics","2","10.3390/math9212742","https://consensus.app/papers/stability-of-interval-type3-fuzzy-controllers-for-tian-yan/a0e61c7a5c4c5fa491cc37552e56b87a/"
"A hybrid controller method with genetic algorithm optimization to measure position and angular for mobile robot motion control","This research develops a hybrid controller method with genetic algorithm optimization to improve path planning position and angular control for autonomous mobile robots.","Muhammad Razmi Bin Razali, Ahmad Athif Mohd Faudzi, Abu Ubaidah bin Shamsudin, S. Mohamaddan",2023,13,"Due to the complexity of autonomous mobile robot's requirement and drastic technological changes, the safe and efficient path tracking development is becoming complex and requires intensive knowledge and information, thus the demand for advanced algorithm has rapidly increased. Analyzing unstructured gain data has been a growing interest among researchers, resulting in valuable information in many fields such as path planning and motion control. Among those, motion control is a vital part of a fast, secure operation. Yet, current approaches face problems in managing unstructured gain data and producing accurate local planning due to the lack of formulation in the knowledge on the gain optimization. Therefore, this research aims to design a new gain optimization approach to assist researcher in identifying the value of the gain's product with a qualitative comparative study of the up-to-date controllers. Gains optimization in this context is to classify the near perfect value of the gain's product and processes. For this, a domain controller will be developed based on the attributes of the Fuzzy-PID parameters. The development of the Fuzzy Logic Controller requires information on the PID controller parameters that will be fuzzified and defuzzied based on the resulting 49 fuzzy rules. Furthermore, this fuzzy inference will be optimized for its usability by a genetic algorithm (GA). It is expected that the domain controller will give a positive impact to the path planning position and angular PID controller algorithm that meet the autonomous demand.","","Frontiers in Robotics and AI","2","10.3389/frobt.2022.1087371","https://consensus.app/papers/a-hybrid-controller-method-with-genetic-algorithm-razali-faudzi/f639efe01d5b5b298582b15387b51bcc/"
